"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validates that test data can be retrieved for all test users","0","Verify test data is properly loaded","ChirangV Website Test Suite","Mon Nov 17 00:56:42 UTC 2025","passed","Mon Nov 17 00:56:42 UTC 2025","com.chirangv.tests.EndToEndTest","Website Automation Tests","com.chirangv.tests.EndToEndTest","testUserDataRetrieval"
"","1839","Verify all expertise areas and skill sections together","ChirangV Website Test Suite","Mon Nov 17 00:56:23 UTC 2025","passed","Mon Nov 17 00:56:24 UTC 2025","com.chirangv.tests.DeveloperPageTest","Website Automation Tests","com.chirangv.tests.DeveloperPageTest","testCompleteSkillsAndExpertise"
"","680","Verify all login form elements are present","ChirangV Website Test Suite","Mon Nov 17 00:56:06 UTC 2025","passed","Mon Nov 17 00:56:07 UTC 2025","com.chirangv.tests.LoginPageTest","Website Automation Tests","com.chirangv.tests.LoginPageTest","testAllLoginElementsPresent"
"Tests the complete user flow from login, navigation, sending message, to admin verification","4111","Complete end-to-end user journey with message verification","ChirangV Website Test Suite","Mon Nov 17 00:56:29 UTC 2025","failed","Mon Nov 17 00:56:33 UTC 2025","com.chirangv.tests.EndToEndTest","Website Automation Tests","com.chirangv.tests.EndToEndTest","testCompleteUserJourney"
"","961","Verify Technical Expertise section is visible","ChirangV Website Test Suite","Mon Nov 17 00:56:16 UTC 2025","passed","Mon Nov 17 00:56:17 UTC 2025","com.chirangv.tests.DeveloperPageTest","Website Automation Tests","com.chirangv.tests.DeveloperPageTest","testTechnicalExpertiseSection"
"","609","Verify all expertise areas are mentioned","ChirangV Website Test Suite","Mon Nov 17 00:56:17 UTC 2025","passed","Mon Nov 17 00:56:17 UTC 2025","com.chirangv.tests.DeveloperPageTest","Website Automation Tests","com.chirangv.tests.DeveloperPageTest","testAllExpertiseAreas"
"","1052","Verify page title","ChirangV Website Test Suite","Mon Nov 17 00:56:04 UTC 2025","passed","Mon Nov 17 00:56:05 UTC 2025","com.chirangv.tests.HomePageTest","Website Automation Tests","com.chirangv.tests.HomePageTest","testPageTitle"
"","762","Verify page title on developer page","ChirangV Website Test Suite","Mon Nov 17 00:56:22 UTC 2025","passed","Mon Nov 17 00:56:23 UTC 2025","com.chirangv.tests.DeveloperPageTest","Website Automation Tests","com.chirangv.tests.DeveloperPageTest","testDeveloperPageTitle"
"Verify that all main content sections (Join My Circle, About Me, Who I Am, What I Do) are displayed","777","Verify all main sections are visible on Home Page","ChirangV Website Test Suite","Mon Nov 17 00:56:00 UTC 2025","passed","Mon Nov 17 00:56:01 UTC 2025","com.chirangv.tests.HomePageTest","Website Automation Tests","com.chirangv.tests.HomePageTest","testAllMainSectionsVisible"
"Validate that clicking the Login link navigates to the login page","1250","Verify navigation to Login page from Home page","ChirangV Website Test Suite","Mon Nov 17 00:56:01 UTC 2025","passed","Mon Nov 17 00:56:02 UTC 2025","com.chirangv.tests.HomePageTest","Website Automation Tests","com.chirangv.tests.HomePageTest","testNavigationToLoginPage"
"","598","Verify all main sections are visible","ChirangV Website Test Suite","Mon Nov 17 00:56:19 UTC 2025","passed","Mon Nov 17 00:56:20 UTC 2025","com.chirangv.tests.DeveloperPageTest","Website Automation Tests","com.chirangv.tests.DeveloperPageTest","testAllMainSectionsVisible"
"","630","Verify Login Page loads successfully","ChirangV Website Test Suite","Mon Nov 17 00:56:05 UTC 2025","passed","Mon Nov 17 00:56:06 UTC 2025","com.chirangv.tests.LoginPageTest","Website Automation Tests","com.chirangv.tests.LoginPageTest","testLoginPageLoads"
"","1594","Verify navigation to login from developer page","ChirangV Website Test Suite","Mon Nov 17 00:56:20 UTC 2025","passed","Mon Nov 17 00:56:22 UTC 2025","com.chirangv.tests.DeveloperPageTest","Website Automation Tests","com.chirangv.tests.DeveloperPageTest","testNavigationToLogin"
"Performs complete user journey for John Doe user","3771","End-to-end test with specific user - John Doe","ChirangV Website Test Suite","Mon Nov 17 00:56:33 UTC 2025","failed","Mon Nov 17 00:56:37 UTC 2025","com.chirangv.tests.EndToEndTest","Website Automation Tests","com.chirangv.tests.EndToEndTest","testJohnDoeUserJourney"
"Validate that the home page loads correctly with all essential elements visible","1124","Verify Home Page loads successfully","ChirangV Website Test Suite","Mon Nov 17 00:55:58 UTC 2025","passed","Mon Nov 17 00:56:00 UTC 2025","com.chirangv.tests.HomePageTest","Website Automation Tests","com.chirangv.tests.HomePageTest","testHomePageLoads"
"","830","Verify Developer Page loads successfully","ChirangV Website Test Suite","Mon Nov 17 00:56:15 UTC 2025","passed","Mon Nov 17 00:56:16 UTC 2025","com.chirangv.tests.DeveloperPageTest","Website Automation Tests","com.chirangv.tests.DeveloperPageTest","testDeveloperPageLoads"
"","567","Verify all skill categories are present","ChirangV Website Test Suite","Mon Nov 17 00:56:18 UTC 2025","passed","Mon Nov 17 00:56:19 UTC 2025","com.chirangv.tests.DeveloperPageTest","Website Automation Tests","com.chirangv.tests.DeveloperPageTest","testAllSkillCategories"
"Performs complete user journey for Alice Johnson user","3933","End-to-end test with specific user - Alice Johnson","ChirangV Website Test Suite","Mon Nov 17 00:56:37 UTC 2025","failed","Mon Nov 17 00:56:41 UTC 2025","com.chirangv.tests.EndToEndTest","Website Automation Tests","com.chirangv.tests.EndToEndTest","testAliceJohnsonUserJourney"
